team,stat_name,stat_value
BLG,acs,170.16
DRG,acs,193.38000000000002
DRX,acs,187.78
EDG,acs,192.88
FNC,acs,189.38333333333333
G2,acs,198.36
GX,acs,186.21999999999997
MIBR,acs,202.9
NRG,acs,200.38
PRX,acs,200.5
RRQ,acs,178.7
SEN,acs,179.92000000000002
T1,acs,190.8
TH,acs,191.84
TL,acs,180.4
XLG,acs,192.52
BLG,adr,113.3
DRG,adr,127.55999999999999
DRX,adr,123.24000000000001
EDG,adr,125.08
FNC,adr,127.06666666666666
G2,adr,128.64
GX,adr,122.82000000000001
MIBR,adr,129.45999999999998
NRG,adr,129.22
PRX,adr,131.26
RRQ,adr,117.28
SEN,adr,117.94000000000001
T1,adr,123.52000000000001
TH,adr,126.02000000000001
TL,adr,119.38
XLG,adr,125.7
BLG,kast,64.2
DRG,kast,73.4
DRX,kast,69.0
EDG,kast,68.8
FNC,kast,70.66666666666667
G2,kast,71.4
GX,kast,69.2
MIBR,kast,76.2
NRG,kast,73.0
PRX,kast,71.6
RRQ,kast,66.4
SEN,kast,70.2
T1,kast,68.2
TH,kast,70.2
TL,kast,66.2
XLG,kast,72.0
BLG,hs_percent,25.2
DRG,hs_percent,31.2
DRX,hs_percent,30.4
EDG,hs_percent,25.2
FNC,hs_percent,29.5
G2,hs_percent,25.0
GX,hs_percent,30.8
MIBR,hs_percent,26.4
NRG,hs_percent,24.2
PRX,hs_percent,27.2
RRQ,hs_percent,30.8
SEN,hs_percent,28.0
T1,hs_percent,31.8
TH,hs_percent,29.6
TL,hs_percent,28.0
XLG,hs_percent,33.8
BLG,kills,55.4
DRG,kills,67.4
DRX,kills,318.2
EDG,kills,81.2
FNC,kills,256.0
G2,kills,184.2
GX,kills,170.2
MIBR,kills,235.0
NRG,kills,261.6
PRX,kills,251.8
RRQ,kills,84.4
SEN,kills,78.6
T1,kills,98.8
TH,kills,171.8
TL,kills,91.4
XLG,kills,105.8
BLG,cl_percent,5.6
DRG,cl_percent,8.0
DRX,cl_percent,13.6
EDG,cl_percent,11.8
FNC,cl_percent,11.333333333333334
G2,cl_percent,16.8
GX,cl_percent,12.6
MIBR,cl_percent,12.2
NRG,cl_percent,15.2
PRX,cl_percent,12.8
RRQ,cl_percent,10.8
SEN,cl_percent,11.8
T1,cl_percent,20.2
TH,cl_percent,21.4
TL,cl_percent,12.2
XLG,cl_percent,7.2
