CountryPrimary,Players,Percentage
United States,15,18.51851851851852
China,13,16.049382716049383
South Korea,8,9.876543209876543
Russia,6,7.4074074074074066
Brazil,5,6.172839506172839
Indonesia,4,4.938271604938271
Japan,4,4.938271604938271
Poland,3,3.7037037037037033
Taiwan,3,3.7037037037037033
Turkey,3,3.7037037037037033
United Kingdom,3,3.7037037037037033
Canada,2,2.4691358024691357
Hong Kong,2,2.4691358024691357
Belgian,1,1.2345679012345678
Croatia,1,1.2345679012345678
Lithuania,1,1.2345679012345678
Malaysia,1,1.2345679012345678
Mongolia,1,1.2345679012345678
Morocco,1,1.2345679012345678
Philippines,1,1.2345679012345678
Portugal,1,1.2345679012345678
Singapore,1,1.2345679012345678
Vietnam,1,1.2345679012345678
